type,name,LOA,LWL,LBP,B,D,T,Vk,DWT,L/B,B/T,Vm,Fn,CB,CM,CP,CX
Product Tanker,Furenas,136.70,128.36,128.36,21.50,10.50,7.40,14.5,11500,5.970232558,2.905405405,7.4588,0.210193656,0.665289887,0.982107085,0.67741074,0.982107085
Product Tanker,Moskalvo,183.00,173.90,173.90,32.20,18.00,11.00,14.7,40100,5.400621118,2.927272727,7.56168,0.18307709,0.747076412,0.990187209,0.754479966,0.990187209
Product Tanker,Seaqueen,244.60,233.00,233.00,42.00,22.20,14.90,15.0,105000,5.547619048,2.818791946,7.716,0.161391164,0.852364521,0.996110787,0.855692492,0.996110787
Product Tanker,Volgograd (icebreaking),145.70,137.00,137.00,22.50,11.25,8.35,14.4,14875,6.088888889,2.694610778,7.40736,0.202054564,0.695250974,0.985574913,0.705426817,0.985574913
Product Tanker,Isola Gialla,191.56,181.90,181.90,29.00,15.30,11.35,16.0,43157,6.272413793,2.555066079,8.2304,0.194836397,0.726080167,0.988498191,0.734528574,0.988498191
Product Tanker,Margara,228.58,220.00,220.00,32.20,20.09,12.57,15.3,60913,6.832298137,2.561654733,7.880608,0.169634382,0.851723593,0.996084269,0.855071824,0.996084269
Product Tanker,Podravina,178.30,175.00,175.00,32.00,17.95,11.00,15.1,39469,5.46875,2.909090909,7.76744,0.187466806,0.731539766,0.988958769,0.739707042,0.988958769
Product Tanker,Robin,183.00,174.50,174.50,27.40,17.60,9.80,15.0,30656,6.368613139,2.795918367,7.731432,0.186864895,0.759826183,0.991111694,0.766640317,0.991111694
Product Tanker,Silver River,145.61,138.50,138.50,19.60,10.65,8.00,13.6,,7.066326531,2.45,6.99584,0.189793126,0.767897983,0.991661376,0.774355038,0.991661376
Product Tanker,Dutch Aquamarine,118.00,111.15,111.15,17.00,8.15,6.45,15.0,6400,6.538235294,2.635658915,7.716,0.233670012,0.611538419,0.97375076,0.628023561,0.97375076
Product Tanker,Prospero,146.09,134.00,134.00,22.00,12.80,9.25,14.5,16740,6.090909091,2.378378378,7.4588,0.205722626,0.682907433,0.984229927,0.69384949,0.984229927
Product Tanker,Seaturbot,177.75,168.05,168.05,28.00,16.80,11.00,15.1,32230,6.001785714,2.545454545,7.76744,0.191304042,0.731869616,0.988986095,0.740020127,0.988986095
Product Tanker,Osco Star,176.00,169.00,169.00,32.00,15.10,10.00,14.3,34572,5.28125,3.2,7.35592,0.180658808,0.753518795,0.99066326,0.760620512,0.99066326
Product Tanker,EXXON Charleston,193.70,185.93,185.93,32.30,18.29,11.60,16.0,42140,5.756346749,2.784482759,8.2304,0.192713307,0.719659805,0.987935954,0.728447833,0.987935954
Product Tanker,Steersman,101.60,95.64,95.64,17.50,,6.85,12.5,6416,5.465142857,2.554744526,6.43,0.209921386,0.653196906,0.980494669,0.666191186,0.980494669
Product Tanker,Belisaire,129.95,124.30,124.30,20.00,9.75,6.50,13.8,12680,6.215,3.076923077,7.09872,0.203287174,0.694375792,0.985483118,0.704604451,0.985483118
Product Tanker,British Energy,183.00,174.50,174.50,27.40,17.60,9.80,14.6,35970,6.368613139,2.795918367,7.48452,0.180897154,0.784892614,0.992736334,0.790635526,0.992736334
Product Tanker,Isola  Blu,165.90,155.60,155.60,26.90,13.60,10.00,15.0,25000,5.784386617,2.69,7.716,0.197493551,0.703005258,0.986365696,0.712722736,0.986365696
Product Tanker,Maritea,175.87,169.00,169.00,29.78,16.81,11.00,15.0,34659,5.674949631,2.707272727,7.716,0.189502247,0.729541371,0.988792004,0.737810751,0.988792004
Product Tanker,Tarantella,182.00,176.00,176.00,32.20,17.20,10.98,15.0,40600,5.465838509,2.932604736,7.716,0.185695501,0.738433324,0.989518382,0.746255286,0.989518382
Product Tanker,Whitchallenger,84.95,80.80,80.80,15.00,8.60,5.50,10.25,3630,5.386666667,2.727272727,5.2726,0.187277085,0.729920779,0.988823826,0.738170704,0.988823826
Product Tanker,Thames Fisher,91.50,85.00,85.00,15.50,8.00,6.00,12.0,4750,5.483870968,2.583333333,6.1728,0.213765807,0.641921388,0.978863574,0.655782282,0.978863574
